Sum of students_enrolled_courser,Column Labels,,,,
Row Labels,Advanced,Beginner,Intermediate,Mixed,Grand Total
Java Programming: Solving Problems with Software,,160000,,,160000
Introduction to Probability and Data,,160000,,,160000
Learn SQL Basics for Data Science,,160000,,,160000
Business and Financial Modeling,,160000,,,160000
Viral Marketing and How to Craft Contagious Content,,,,150000,150000
Mathematics for Machine Learning,,150000,,,150000
Interaction Design,,,150000,,150000
Fundamentos de Excel para Negocios,,150000,,,150000
Full Stack Web and Multiplatform Mobile App Development,,,150000,,150000
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",,,150000,,150000
Introduction to Engineering Mechanics,,,,150000,150000
Introduction to Classical Music,,,,150000,150000
De-Mystifying Mindfulness,,150000,,,150000
Algorithms,,,150000,,150000
Dog Emotion and Cognition,,,,150000,150000
Arizona State University TESOL,,150000,,,150000
Applied Machine Learning in Python,,,150000,,150000
"Creatividad, diseño e innovación: Técnicas y herramientas",,150000,,,150000
Mathematics for Machine Learning: Linear Algebra,,140000,,,140000
Writing in the Sciences,,140000,,,140000
Science of Exercise,,140000,,,140000
Introduction to Personal Branding,,140000,,,140000
IBM AI Engineering,,,140000,,140000
"GIS, Mapping, and Spatial Analysis",,140000,,,140000
Full-Stack Web Development with React,,,140000,,140000
How To Create a Website in a Weekend! (Project-Centered Course),,,,140000,140000
Introducción a Data Science: Programación Estadística con R,,140000,,,140000
Data Mining,,,140000,,140000
Data Warehousing for Business Intelligence,140000,,,,140000
Data Science Math Skills,,140000,,,140000
Creative Problem Solving,,,,140000,140000
Digital Product Management,,140000,,,140000
Creative Writing,,140000,,,140000
Cybersecurity and Its Ten Domains,,140000,,,140000
The Addicted Brain,,130000,,,130000
"The Modern World, Part One: Global History from 1760 to 1910",,130000,,,130000
Social Media Marketing,,130000,,,130000
The Bits and Bytes of Computer Networking,,130000,,,130000
Model Thinking,,,,130000,130000
Understanding the Brain: The Neurobiology of Everyday Life,,130000,,,130000
Introduction to Corporate Finance,,,,130000,130000
"Cameras, Exposure, and Photography",,,,130000,130000
Data Visualization and Communication with Tableau,,,,130000,130000
A Crash Course in Data Science,,,,130000,130000
English for Journalism,,,,130000,130000
Epidemiology: The Basic Science of Public Health,,,,130000,130000
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",,,130000,,130000
AWS Fundamentals,,130000,,,130000
Robotics,,120000,,,120000
Web Applications for Everybody,,,120000,,120000
Understanding Research Methods,,,,120000,120000
Marketing Digital,,120000,,,120000
What Is Contemporary Art?,,120000,,,120000
The Power of Microeconomics: Economic Principles in the Real World,,,,120000,120000
Miracles of Human Language: An Introduction to Linguistics,,120000,,,120000
The DIY Musician,,120000,,,120000
Tools for Data Science,,120000,,,120000
Machine Learning with Python,,,120000,,120000
Learn to Speak Korean 1,,120000,,,120000
Management of Fashion and Luxury Companies,,,,120000,120000
Learn English: Intermediate Grammar,,,120000,,120000
Fundamentals of Project Planning and Management,,120000,,,120000
Introdução à Ciência da Computação com Python Parte 1,,120000,,,120000
Google Cloud Platform Big Data and Machine Learning Fundamentals,,,120000,,120000
Data-driven Decision Making,,120000,,,120000
"Data Engineering, Big Data, and Machine Learning on GCP",,,120000,,120000
Business English Communication Skills,,,120000,,120000
Creative Writing: The Craft of Plot,,,,120000,120000
Android App Development,,120000,,,120000
Code Yourself! An Introduction to Programming,,120000,,,120000
Data Engineering with Google Cloud,,,120000,,120000
Tricky American English Pronunciation,,110000,,,110000
Python Basics,,110000,,,110000
Software Product Management,,110000,,,110000
Sexualidad...mucho más que sexo,,110000,,,110000
Gamification,,,,110000,110000
Introduction to Electronics,,,,110000,110000
Fundamentals of Quantitative Modeling,,,,110000,110000
Fundamentos de Finanzas Empresariales,,110000,,,110000
Introduction to the Biology of Cancer,,110000,,,110000
Electronic Music Production,,,110000,,110000
